IDNUM;OTEXE;NREG;ZENVI;SUTOT;CHAFF;PRODV;PRODH;PRODT;PRODA;RESEX;CHRAM;CHRSE;CHRPH;CHRAC;CHRAG;CHRPV;CHRCA;ELECTQUA;ENTBT;ENTMT;LFERM;LMATE;ASSRE;ASSAU;TVANR;TXPRO;TAXES;AIMTX;FPERS;CHSOC;CFINL;CAGR4
7180;16;76;0;12;299566;52208;0;3250;71838;43270.58;3271;12861;18402;48914;0;4501;15416;34593;6292;20739;31987;0;1540;5578;0;1636;521;1616;0;0;3941;4614
7182;15;76;0;27;910060;464191;0;0;140449;-260820.22;0;17215;40120;77816;0;9193;5571;50073;15945;27070;58784;1791;10165;9274;0;10732;732;1062;43322;19943;6623;896
7193;15;76;0;11;281323.28;30307.99;0;-4550;32161.38;69818.5;600;6899.31;0;12498.15;17979.8;12600.21;10180.06;20314;1697.61;13148.96;19478.12;0;351.45;13684.82;0;792.2;143;822;0;0;3349.34;3080.5
7196;45;76;0;13;263962.18;69874.24;0;-1575;19954.94;94238.88;6269.43;5665.1;11717.82;43834.09;3293.75;6373.13;10942.8;45000;163.21;8114.69;29858.5;495;0;8613.33;0;1790.07;0;1594.07;0;0;1419.78;246.05
7341;48;76;0;9;265870.79;274888.01;0;0;0;40143.39;0;30077.1;47420.28;308.52;0;100.81;24921.11;3801;560.28;20397.09;31832.37;0;20041.31;9987.16;0;2078.06;0;3940.19;3461.56;1418.39;2597.93;1028.07
7347;48;76;0;8;305119.66;149727.17;0;175;1177.67;61950.54;0;4596;20643;5720;0;2533;14484.67;22613.1;2239;9688;26688.77;1522;7166;8172;0;2071;0;1684;22532;16081;1608;0
7348;83;76;0;16;599163;21660;574045;0;0;237233;0;80594;8605;0;0;0;3857;18239;2063;9127;12811;395;0;5860;0;1176;107;276;68601;1968;682;55
7411;48;76;0;19;239873.54;8886.54;0;172976;0;71350.48;43.7;3475.13;12884.44;0;0;0;6823.25;0;0;6681.01;8388.95;0;17488.48;8174.61;0;12.7;772;456;6306.65;783.42;2392.05;65.97
7436;37;76;0;4;163187;162261;0;0;0;44315;0;21490;12577;0;0;0;4159;52150;2030;671;33990;0;2696;6668;0;1264;0;0;22932;3495;389;45
7437;37;76;0;18;82999;4229.7;73547.1;0;0;24598.8;2075;8533;620;0;7885;0;556;7211;0;1719;1860;0;0;5904;0;230;0;1107;9417;595;0;0
7747;61;76;0;18;287501;229268;0;52833;0;83913;0;285;26267;0;0;0;4552;5129;4217;4892;27400;0;0;6273;0;652;0;848;80316;1717;1324;30
7754;84;76;0;8;430488;48179;9429;-900;310607;-223;0;8008;5889;227375;0;908;3986;24656;4165;4970;4379;0;0;5081;0;4622;74;1553;1423;93;4520;0
7756;45;76;0;7;415452.88;358570.02;0;54694.4;0;226621.4;0;15879.16;44612.59;0;0;0;7118.93;2852;49.97;6417.86;42090.8;12198.73;6190.97;6289.08;0;2863.03;446;1015.26;1402.5;111.42;0;0
7762;48;76;0;8;103170;9263;0;135;82584;-2721;1039;2778;2426;23090;4557;7066;5262;2190;0;3749;2365;0;360;4534;0;646;1210;0;0;0;693;5
7818;48;76;0;13;1214789;0;0;1672554;0;951594.95;27681;0;67715;0;0;0;15502;52256;8138;32749;71347;0;34565;32794;0;2504;0;10002;0;0;15216;518
